url	slug	plantilla	title	meta_description	robots	canonical	og_title	og_description	og_type	og_locale
/reviews/	reviews	tpl-reviews.php	Opiniones de Caissa: testimonios y resultados de clientes	Opiniones y testimonios de clientes de Caissa: resultados en Google Ads y Meta Ads, en video y en reseñas públicas. 4.9 en Google y 5.0 en Clutch.	index, follow, max-snippet:-1, max-image-preview:large	https://caissa.digital/reviews/	Opiniones de Caissa: testimonios y resultados de clientes	Los clientes de Caissa cuentan sus resultados: testimonios en video y reseñas públicas en Google y Clutch.	website	es_AR
/equipo/	equipo	tpl-equipo.php	Nuestro equipo y nuestros valores | Caissa	Conocé a las nueve personas del equipo de Caissa y los seis valores que sostienen nuestra forma de trabajar: respeto, integridad y servicio experto.	index, follow, max-image-preview:large, max-snippet:-1	https://caissa.digital/equipo/	Nuestro equipo y nuestros valores | Caissa	Las personas que están detrás de cada caso de éxito de Caissa, y los seis valores con los que trabajamos.	website	es_AR
/equipo/manu-ferrini/	manu-ferrini	tpl-manu-ferrini.php	Manuel Ferrini, CEO y cofundador de Caissa	Manuel Ferrini es CEO y cofundador de Caissa y creador del método PCO™. Más de 10 años en performance marketing y más de 100 empresas asesoradas.	index, follow, max-image-preview:large, max-snippet:-1	https://caissa.digital/equipo/manu-ferrini/	Manuel Ferrini, CEO y cofundador de Caissa	Manuel Ferrini es CEO y cofundador de Caissa y creador del método PCO™. Más de 10 años en performance marketing y más de 100 empresas asesoradas.	profile	es_AR
/equipo/martin-pera/	martin-pera	tpl-martin-pera.php	Martín Pera, COO y cofundador de Caissa	Martín Pera es COO y cofundador de Caissa. Lidera el equipo y la cultura de la agencia, con más de siete años de experiencia en marketing digital.	index, follow, max-image-preview:large, max-snippet:-1	https://caissa.digital/equipo/martin-pera/	Martín Pera, COO y cofundador de Caissa	Martín Pera es COO y cofundador de Caissa. Lidera el equipo y la cultura de la agencia, con más de siete años de experiencia en marketing digital.	profile	es_AR
/tecnologia/	tecnologia	tpl-tecnologia.php	AEGIS, nuestra tecnología PPC propia | Caissa	Desarrollamos AEGIS, nuestro software PPC propio: más de cuatro años, 20.000 horas de experiencia y +$1M USD de inversión para detener el desperdicio más rápido.	index, follow, max-image-preview:large, max-snippet:-1	https://caissa.digital/tecnologia/	AEGIS, nuestra tecnología PPC propia | Caissa	Más de cuatro años y +$1M USD para desarrollar nuestro software PPC propio. Ahora es tu ventaja.	website	es_AR
/carreras/	carreras	tpl-carreras.php	Trabajá con nosotros: empleos en marketing digital | Caissa	Sumate a Caissa, agencia certificada Great Place to Work. Búsquedas abiertas en performance marketing, remotas y presenciales en Neuquén Capital.	index, follow, max-snippet:-1, max-image-preview:large	https://caissa.digital/carreras/	Trabajá con nosotros: empleos en marketing digital | Caissa	Somos Great Place to Work. Búsquedas abiertas en performance marketing, remotas y presenciales en Neuquén Capital.	website	es_AR
/carreras/especialista-en-performance-marketing/	vac-remoto	tpl-vac-remoto.php	Empleo remoto: Especialista en Performance Marketing | Caissa	Vacante 100% remota para residentes en Argentina en una agencia Great Place to Work: 2+ años en Google Ads y Meta Ads y prepaga cubierta al 100%. Postulate.	index, follow, max-snippet:-1, max-image-preview:large	https://caissa.digital/carreras/especialista-en-performance-marketing/	Empleo remoto: Especialista en Performance Marketing | Caissa	Vacante 100% remota para residentes en Argentina, con más de dos años en Google Ads y Meta Ads.	website	es_AR
/carreras/especialista-performance-marketing-neuquen/	vac-neuquen	tpl-vac-neuquen.php	Empleo: Especialista en Performance Marketing en Neuquén | Caissa	Vacante presencial full time en Neuquén Capital, con o sin experiencia. Somos Great Place to Work: formación paga, plan de carrera y salario por desempeño.	index, follow, max-snippet:-1, max-image-preview:large	https://caissa.digital/carreras/especialista-performance-marketing-neuquen/	Empleo: Especialista en Performance Marketing en Neuquén | Caissa	Vacante presencial full time en Neuquén Capital, con o sin experiencia. La formación corre por cuenta nuestra.	website	es_AR
/aviso-legal/	aviso-legal	tpl-aviso-legal.php	Aviso legal y política de privacidad | Caissa	Aviso legal, política de privacidad y política de cookies de Caissa (SYNERGYMEDIA PATAGONIA S.A.S.), conforme a la Ley 25.326 de Protección de los Datos Personales de la República Argentina.	index, follow	https://caissa.digital/aviso-legal/	Aviso legal y política de privacidad | Caissa	Aviso legal, política de privacidad y política de cookies de Caissa, conforme a la Ley 25.326 de la República Argentina.	website	es_AR
/reservar-consultoria/	reservar-consultoria	tpl-reservar-consultoria.php	Reservá tu consultoría gratuita | Caissa	Reservá 15 minutos con Manuel Ferrini, CEO de Caissa. Compartimos pantalla y recorremos tu cuenta de Google Ads en vivo. Sin compromiso.	index, follow	/reservar-consultoria/	Reservá tu consultoría gratuita | Caissa	15 minutos con el CEO. Compartimos pantalla y recorremos tu cuenta de Google Ads en vivo.	website	es_AR
/llamada-confirmada/	llamada-confirmada	tpl-llamada-confirmada.php	Llamada confirmada | Caissa	Tu reunión con Caissa quedó agendada. Mientras tanto, podés conocer qué dicen nuestros clientes.	noindex, follow	https://caissa.digital/llamada-confirmada/	Llamada confirmada | Caissa		website	es_AR
